id,name,street,house_number,zip_code,city,bank_account
586ff65d-5f60-4f93-a41c-1a3c53f33843,Gibson LLC,Everest Yard,1,24-332,New York,123456789123456789
e8445b99-9e45-4897-858a-a1ff0477dcd7,Mertz Group,Red Lion Gate,2,36-932,Los Angeles,987654321987654321
aeef5b5b-6724-4250-938c-48e55da04b40,Okuneva LLC,Kelvinhead Road,3,41-691,Chicago,456789123456789123
a0fa7733-a022-4b2b-bea4-389415005826,Pfeffer - Anderson,Peartree Chase,4,61-125,Houston,987654321987654321
85a22db5-f36a-4d0e-8e8e-0e553278f06f,Reilly - Bailey,Bankfield Willows,5,71-401,Phoenix,345678912345678912
218ef189-a702-432e-9d6e-b1f27b7241d3,Fahey - Lesch,Furze Walk,6,69-760,Philadelphia,678912345678912345
36cd9c86-55f4-43f7-9f44-a6810b73d3b9,Erdman - Langosh,Aveland Way,7,59-116,San Antonio,456789123456789123
474fd4ab-e067-41dc-a738-b119430b126b,Grimes Inc,Heeley Close,8,97-679,San Diego,891234567891234567
1797c01d-d12b-4a66-b77d-c53ee7187be3,Rosenbaum Inc,East Lodge,9,90-194,Dallas,912345678912345678
8cbec668-faec-42f3-8ca1-459a38056f0d,Collins Kovacek and Sporer,Charlotte Isaf,10,11-690,San Jose,123456789123456789
8a65697a-cf4f-4a21-bf83-ce71fb3c4f4c,Heidenreich Gleichner and Corwin,Harefield Isaf,11,65-465,Austin,987654321987654321
890dceb2-ebdd-434b-bbb8-8cead3040437,Greenholt Cruickshank and Wintheiser,Studfall Avenue,12,49-547,Jacksonville,456789123456789123
cb2071f4-24a9-4c8a-b63d-94777ccae24f,Schuppe Hirthe and Crist,Salcombe Paddocks,13,91-186,Fort Worth,987654321987654321
baf2e246-f41a-4019-8a8a-328a31fda432,D'Amore LLC,Sutton Bridge,14,83-149,Columbus,345678912345678912
fe9d7499-d413-47f2-b7d0-4c1ebe8e87ab,Jones - Gutmann,Villiers Grove,15,86-248,Charlotte,678912345678912345
5d9a1adf-1587-46d0-839b-acf1c84df12e,Kunze - Davis,Bryony Gait,16,17-36,Seattle,456789123456789123
38dc28a7-ec58-413a-b165-46ba6faa5f12,Parker - Lakin,West Cults Court,17,64-854,Denver,891234567891234567
61e74d6a-4310-457d-b58e-66ff94125718,King Willms and Bernhard,Gordon Cloisters,18,42-309,Washington,912345678912345678
05f053de-e670-45b8-8840-f00a0839598c,Mertz - Prohaska,Crispin Way,19,49-978,Boston,123456789123456789
09bb8f4d-b744-4602-bdfd-3f5a7f640e60,Hand Kunde and Roob,Blacksmith Copse,20,56-178,Nashville,987654321987654321
39a7b69c-2ace-4c43-afc7-32182306aba8,Sipes and Sons,Abbey Head,21,32-531,Baltimore,456789123456789123
e109389b-e26d-402e-a8ca-5de894446aa7,Paucek LLC,Hill Top Drove,22,21-742,Oklahoma City,987654321987654321
65ff167d-0798-4354-a01b-36e658724cc0,Yundt - Abshire,Tithe Farm Avenue,23,26-320,Milwaukee,345678912345678912
c0d78870-f6f8-4f4a-a0a3-4c98d29befe4,Murazik LLC,Grays Highway,24,18-400,Las Vegas,678912345678912345
a3d5b7a5-da9f-4bcb-b5c7-e02825d0cde1,Walter O'Kon and Schoen,Kingsley Heath,25,38-443,Albuquerque,456789123456789123